launch_date,brand,model,height_mm,brand_color
2013-09-01,Spice,Mi-423 Smart Flo Ivory 2,126.3,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-09-01,Spice,Mi-349 Smart Flo Edge,117,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-08-01,Spice,Mi-436 Stellar Glamour,125,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-08-01,Spice,Mi-354 Smartflo Space,118.2,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-06-01,Spice,Mi-525 Pinnacle FHD,149.4,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-06-01,Spice,Mi-515 Coolpad,140,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-06-01,Spice,Mi-510 Stellar Prime,145,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-05-01,Spice,Mi-505 Stellar Horizon Pro,148,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-06-01,Spice,Mi-491 Stellar Virtuoso Pro,135,"rgba( 181 ,  175 ,  159 , 0.2)"
2007-01-01,Benefon,TWIG Discovery Pro,116,"rgba( 0 ,  0 ,  0 , 0.2)"
2006-06-01,Benefon,TWIG Discovery,116,"rgba( 0 ,  0 ,  0 , 0.2)"
2007-01-01,Amoi,E860,112,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,E78,115,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,E76,100,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,E72,100,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,WMA8701A,109.4,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,WMA8703,109.4,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-08-01,Amoi,WMA8508,95,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,CMA8170,92.5,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-07-01,Amoi,M33,106,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,A203,101,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,A200,82,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,A102,85.5,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,A100,85.5,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,A10,102.4,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,E850,102,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,V810,94,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,H815,90,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,H812,90,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,H810,90,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,H802,93.5,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,H801,93,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,H8,94,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,H80,94,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,A675,93.2,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,M636,107,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,A865,90.3,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,A869,93,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,6201,106,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,M360,91.7,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,M650,91,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,M630,105,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,F620,87,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,A320,104,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,F320,100.4,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,A310,91.9,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,A211,82,"rgba( 0 ,  138 ,  181 , 0.2)"
2006-04-01,Amoi,A210,80,"rgba( 0 ,  138 ,  181 , 0.2)"
2014-03-01,Emporia,Glam,104,"rgba( 192 ,  185 ,  176 , 0.2)"
2014-03-01,Emporia,Flip Basic,96,"rgba( 192 ,  185 ,  176 , 0.2)"
2014-01-01,Emporia,Eco,124,"rgba( 192 ,  185 ,  176 , 0.2)"
2014-01-01,Emporia,Click Plus,105,"rgba( 192 ,  185 ,  176 , 0.2)"
2012-01-01,Emporia,Essence Plus,107,"rgba( 192 ,  185 ,  176 , 0.2)"
2013-01-01,Emporia,Solid Plus,119,"rgba( 192 ,  185 ,  176 , 0.2)"
2013-01-01,Emporia,Care Plus,122,"rgba( 192 ,  185 ,  176 , 0.2)"
2012-01-01,Emporia,Elegance Plus,109,"rgba( 192 ,  185 ,  176 , 0.2)"
2012-01-01,Emporia,Elegance,109,"rgba( 192 ,  185 ,  176 , 0.2)"
2012-01-01,Emporia,Connect,108,"rgba( 192 ,  185 ,  176 , 0.2)"
2011-01-01,Emporia,Click,105,"rgba( 192 ,  185 ,  176 , 0.2)"
2013-01-01,Emporia,Talk Comfort Plus,114.5,"rgba( 192 ,  185 ,  176 , 0.2)"
2011-01-01,Emporia,Talk Comfort,114,"rgba( 192 ,  185 ,  176 , 0.2)"
2011-01-01,Emporia,RL1,109,"rgba( 192 ,  185 ,  176 , 0.2)"
2010-01-01,Emporia,Talk Premium,121,"rgba( 192 ,  185 ,  176 , 0.2)"
2015-01-01,Unnecto,Omnia,142.9,"rgba( 43 ,  38 ,  64 , 0.2)"
2015-01-01,Unnecto,Swift,119.3,"rgba( 43 ,  38 ,  64 , 0.2)"
2015-01-01,Unnecto,Quattro X,123,"rgba( 43 ,  38 ,  64 , 0.2)"
2015-01-01,Unnecto,Drone XL,115,"rgba( 43 ,  38 ,  64 , 0.2)"
2015-01-01,Unnecto,Drone X,115,"rgba( 43 ,  38 ,  64 , 0.2)"
2015-01-01,Unnecto,Air 5.5,153,"rgba( 43 ,  38 ,  64 , 0.2)"
2015-01-01,Unnecto,Air 5.0,143.5,"rgba( 43 ,  38 ,  64 , 0.2)"
2015-01-01,Unnecto,Air 4.5,133.9,"rgba( 43 ,  38 ,  64 , 0.2)"
2014-09-01,Unnecto,Rush,148,"rgba( 43 ,  38 ,  64 , 0.2)"
2014-06-01,Unnecto,Quattro Z,125.5,"rgba( 43 ,  38 ,  64 , 0.2)"
2014-06-01,Unnecto,Drone Z,116,"rgba( 43 ,  38 ,  64 , 0.2)"
2012-03-01,Unnecto,Quattro,123,"rgba( 43 ,  38 ,  64 , 0.2)"
2012-03-01,Unnecto,Blaze,114,"rgba( 43 ,  38 ,  64 , 0.2)"
2012-02-01,Unnecto,Drone,102.6,"rgba( 43 ,  38 ,  64 , 0.2)"
2011-06-01,Unnecto,Tap,105.5,"rgba( 43 ,  38 ,  64 , 0.2)"
2012-03-01,Unnecto,Pro Z,115,"rgba( 43 ,  38 ,  64 , 0.2)"
2012-03-01,Unnecto,Pro,112,"rgba( 43 ,  38 ,  64 , 0.2)"
2011-06-01,Unnecto,Edge,112,"rgba( 43 ,  38 ,  64 , 0.2)"
2011-06-01,Unnecto,Shell,111.5,"rgba( 43 ,  38 ,  64 , 0.2)"
2011-06-01,Unnecto,Pebble,107.2,"rgba( 43 ,  38 ,  64 , 0.2)"
2011-06-01,Unnecto,Drift,115,"rgba( 43 ,  38 ,  64 , 0.2)"
2011-06-01,Unnecto,Eco,105.8,"rgba( 43 ,  38 ,  64 , 0.2)"
2013-01-01,Unnecto,Primo 3G,108,"rgba( 43 ,  38 ,  64 , 0.2)"
2013-01-01,Unnecto,Primo,108,"rgba( 43 ,  38 ,  64 , 0.2)"
2015-10-01,Intex,Aqua Ace,145,"rgba( 237 ,  27 ,  36 , 0.2)"
2015-09-01,Intex,Aqua Trend,144.5,"rgba( 237 ,  27 ,  36 , 0.2)"
2015-07-01,Intex,IRist Smartwatch,44,"rgba( 237 ,  27 ,  36 , 0.2)"
2015-06-01,Intex,Aqua 4G+,140,"rgba( 237 ,  27 ,  36 , 0.2)"
2015-06-01,Intex,Aqua Xtreme II,140,"rgba( 237 ,  27 ,  36 , 0.2)"
2015-02-01,Intex,Aqua Y2 Remote,125,"rgba( 237 ,  27 ,  36 , 0.2)"
